ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.007,0.04,9.82,0.01,0.001,9.807,-0.003,0.039,-0.023,0.4,0.5,-0.1,8.758,-69.7,-205.3,475.1,157.3,1.4,-1.3,41
-0.024,0.025,9.83,-0.002,0.003,9.807,-0.023,0.022,-0.003,0,0.1,-0.1,8.758,-69.8,-205.4,475.1,157.3,1.4,-1.3,41
-0.073,0.014,9.729,-0.008,0.001,9.807,-0.066,0.013,-0.092,0.1,0,-0.1,8.758,-69.8,-205.4,475.3,157.2,1.5,-1.3,41
-0.033,-0.005,9.826,-0.003,-0.001,9.807,-0.029,-0.003,0.017,0,0,0,8.505,-70,-205.4,475.3,157.2,1.5,-1.4,44.67
-0.022,0.065,9.517,-0.004,0.01,9.807,-0.018,0.055,-0.26,-0.7,0,-0.1,8.674,-70.1,-205.2,475.3,157.1,1.5,-1.4,44.67
-0.009,-0.002,9.603,0.001,-0.004,9.807,-0.01,0.002,-0.136,-0.2,-0.1,0,8.421,-69.9,-205.1,475,157.2,1.4,-1.3,44.67
-0.045,0.021,9.669,-0.007,0.004,9.807,-0.038,0.017,-0.062,-0.2,-0.1,0,8.421,-69.8,-205.1,475.1,157.1,1.4,-1.4,37.98
0.003,-0.015,9.779,0,-0.002,9.807,0.004,-0.013,0.035,0.2,0.1,0,8.758,-69.8,-205,475.3,157,1.5,-1.4,37.98
-0.006,-0.066,9.846,0.001,-0.011,9.807,-0.007,-0.055,0.09,0.6,0,0,8.337,-69.6,-205,475.4,157.1,1.4,-1.4,37.98
-0.033,0.015,9.779,-0.003,-0.004,9.807,-0.03,0.019,0.041,1.7,-0.1,0.7,8.337,-69.4,-205.3,475.4,157.3,1.4,-1.4,37.98
1.392,-1.215,11.454,0.033,-0.042,9.807,1.36,-1.173,1.688,2.7,0,3.8,8.674,-67.9,-205.2,475.7,158,1.1,-1.4,36.11
-0.418,-0.124,9.946,-0.005,0.016,9.807,-0.413,-0.14,0.175,-0.3,0.4,30,8.674,-59.2,-205.3,478.1,160.2,1.2,-1.3,36.11
-0.13,-0.125,9.838,-0.005,0.021,9.807,-0.126,-0.145,0.066,-1.9,-1,45,8.674,-54.7,-205.4,479.2,161.2,1.3,-1.3,36.11
0.082,0.139,9.754,0,0.037,9.807,0.082,0.102,-0.013,-1.6,-0.7,56.1,8.674,-45,-205,481.5,163.7,1.7,-1.3,51.85
0.003,-0.104,9.992,0.015,0.019,9.807,-0.012,-0.124,0.222,1,0.9,51.8,8.505,-39.8,-204.5,482.5,165.3,1.8,-1.1,51.85
-0.037,-0.048,9.768,0.016,0.005,9.807,-0.053,-0.053,0,1,0.6,51.3,8.505,-30.8,-203,484.4,168.4,1.9,-0.9,51.85
-0.235,-0.232,9.688,-0.01,-0.016,9.807,-0.225,-0.216,-0.071,-0.7,-0.8,56.5,8.758,-30.1,-202.1,484.5,168.5,1.8,-1,52.95
-0.149,-0.236,9.953,-0.009,-0.008,9.807,-0.14,-0.228,0.183,-1.2,-0.9,68.9,8.758,-28.8,-201.5,484.6,168.8,1.8,-0.9,52.95
0.442,0.064,9.612,0.059,0.049,9.806,0.383,0.015,-0.14,-4.1,-0.2,74.4,8.168,-26.7,-200,484.6,170.1,2,-0.6,52.95
0.164,0.157,9.641,0.038,0.024,9.807,0.127,0.133,-0.087,0.1,-0.2,65.8,8.168,-25.9,-199.4,484.7,170.6,2.1,-0.5,54.52
-0.098,-0.036,9.728,0.015,-0.001,9.807,-0.113,-0.035,0,0.4,0.1,69,8.168,-23.9,-198.9,485.2,172,2.2,-0.1,54.52
0.171,-0.103,9.967,0.036,0.011,9.807,0.035,-0.02,0.091,-1.9,0.4,73.3,8.084,-22.8,-198.9,485.4,172.9,2.2,0.1,54.52
-0.051,0.049,9.752,0.024,0.013,9.807,-0.075,0.036,-0.011,-1.2,0.7,61.8,8.168,-20,-199,484.9,175,2.3,0.5,54.52
-0.013,0.03,9.716,0.021,-0.018,9.807,-0.033,0.047,-0.036,1.4,0.2,49.3,8.421,-18.8,-199,485.2,175.7,2.3,0.7,53.64
-0.296,-0.09,9.884,-0.009,-0.033,9.807,-0.287,-0.057,0.117,1.8,0.4,49.8,8.421,-16.1,-199.1,485.4,176.9,2,0.7,53.64
0.396,-0.228,9.576,-0.009,-0.024,9.807,-0.283,-0.008,0.194,-0.4,2.7,53.8,8,-14.8,-199.1,485.6,177,1.8,0.6,53.64
-0.195,0.079,10.011,0.014,-0.003,9.807,-0.209,0.082,0.217,1,1.6,41.8,7.663,-12.9,-199.2,486.4,179.1,1.6,1.2,50.73
-0.124,-0.053,9.89,-0.006,-0.021,9.807,-0.118,-0.032,0.067,1.3,-0.2,18.9,7.411,-12.4,-199.3,487.1,180.3,1.5,1.5,50.73
0.034,0.027,10.003,0.004,-0.011,9.807,0.03,0.037,0.16,0.7,-0.3,7.6,7.411,-11.4,-199.7,488.5,180.6,1.3,1.5,50.73
-0.08,0.136,9.69,-0.01,0.021,9.807,-0.07,0.115,-0.136,-2.1,-0.1,1.4,7.495,-10.9,-199.9,489,180.4,1.4,1.4,44.42
-0.097,0.079,9.652,-0.007,0.015,9.807,-0.091,0.064,-0.129,0,0,0.1,7.326,-10.7,-199.9,489.3,180.5,1.7,1.5,44.42
0.204,-0.183,10.57,0.024,-0.026,9.807,0.18,-0.156,0.701,1.2,0.3,0,7.326,-10.4,-200,488.7,181.2,1.6,1.6,44.42
-0.126,0.037,9.934,0.004,0.032,9.807,-0.131,0.006,-0.004,-0.9,0.8,-0.4,7.411,-10.2,-200.3,487.9,181.5,1.8,1.8,32.51
-0.059,0.046,9.718,-0.002,0.011,9.807,-0.057,0.035,-0.196,-0.2,0.1,-0.1,7.411,-10,-200.5,487.3,181.5,1.9,1.7,32.51
-0.094,0.075,9.711,-0.01,0.01,9.807,-0.084,0.065,-0.158,-0.1,0,0,7.747,-9.3,-200.6,486.3,181.5,2,1.6,32.51
-0.068,0.076,9.732,-0.007,0.01,9.807,-0.06,0.066,-0.123,-0.1,0,-0.1,7.747,-9.1,-200.9,485.8,181.4,2,1.6,32.51
-0.083,0.003,9.798,-0.009,0.001,9.807,-0.073,0.002,-0.042,0,0,0,8,-9.1,-201.4,485.5,181.1,2,1.5,31.01
